kind,title,leaders,start,finish,location,lat,lon,description
community,SMSO Volunteer Dinner,TBA,2006-10-01,"",Location TBA,,,The Sheriff's Office hosts an annual volunteer appreciation dinner for all volunteer units.  This is for members and trainees.  Details will be mailed out in September.
community,SAR CITY 2006,TBA,2006-10-01,"",Barstow,,,Visit <a href='http://www.sarcity.org/' target='_blank'>SAR CITY 2006</a> for more information and registration.
meeting,General,"",2006-10-16,2006-10-16,Castro Valley,37.7207,-122.0962,""
training,Medical Scenario Course,"Tom Lass, Co-leader TBA",2006-10-21,2006-10-22,"Mt. Diablo State Park, City of Clayton",,,"This two day course is a continuation from last years course in the review of patient care issues in the rural rescue setting. The course will present search and rescue scenarios in the field, ranging from locating patients, assessing them, treating any injuries and organizing an appropriate evacuation with various search and rescue equipment."
community,ITRS 2006,TBA,2006-11-03,2006-11-06,"Golden, CO",,,"The annual International Technical Rescue Symposium 'gathers persons from across the spectrum of rescue disciplines to share news and views on advances in equipment and techniques, technical problems, and issues of mutual concern.'  Attendance is limited to 150 people.  Download a pdf of the <a href='ITRS_2006.pdf'>conference flyer</a>. The meeting of the ASTM F32 Search &amp; Rescue Standards Committee will be held in the same location over two days following the conference."
training,Search Management and ICS,"Ahntholz, Erohina",2006-11-18,"",Bay Area TBA,,,"This search management training will in part be oriented toward preparation for BAMRU's 2007 MRA Search Management Recertification.  We will focus on ICS as well as search strategy. Open to members, trainees, and guests."
meeting,General,"",2006-11-20,2006-11-20,Redwood City,37.4888,-122.2305,""
community,Annual Ski Weekend,TBA,2006-12-01,"","North Lake Tahoe Area, TBA",,,"Because all work and no play makes us dull rescuers.  Trainees, bring your packets."
meeting,General,"",2007-01-08,2007-01-08,Redwood City - 2007,,,""
training,Winter Skills - 2007,"Andy Leak, Martin Lanner",2007-01-20,2007-01-21,Carson Pass,,,This training will include routefinding in avalanche terrain and beacon and probe line practice.  Open to guests with pre-approval of trip leaders.
meeting,General,"",2007-02-12,2007-02-12,Castro Valley,37.7207,-122.0962,""
training,Tracking & ELT Search,"Marco Cavalieri, Lars Ahntholz",2007-02-24,"","Huddart Park, Redwood Shelter (near Woodside)",,,"Tracking will start at 0800 hrs, and will last a couple of hours.  <BR><BR>ELT search training will begin at approx 1030 hrs, starting with a presentation at Werder Shelter, followed by an actual field search for an ELT transmitter.  <BR><BR>Although we will be near the park shelter for portions of these trainings, please come prepared to be out in the field (rain or shine) until the ELT transmitter is located  weather-appropriate clothing, food, water, headlamp, navigation tools, park maps for San Mateo County, etc.  <BR><BR>For additional details about tracking training, please contact <a href='mailto:mcavalieri@burlingame.org'>Marco Cavalieri</a>.  For details about ELT search skills, please contact <a href='mailto:lars_a@mindspring.com'>Lars Ahntholz</a>.<BR><BR>Follow this <a href='http://www.co.sanmateo.ca.us/smc/department/home/0,,5556687_12313305_12328471,00.html'>link for Huddart Park map and details</a>."
meeting,General,"",2007-03-19,2007-03-19,Redwood City,37.4888,-122.2305,BAMRU monthly meeting
training,Winter Point-to-Point Trip,"Andy Leak, Bill Parker",2007-03-24,2007-03-25,Sierra Nevada,,,Details TBA.
meeting,General,"",2007-04-16,2007-04-16,Castro Valley,37.7207,-122.0962,""
training,Operation Leader Orientation,"John Chang, Martin Lanner",2007-04-21,"","500 Allerton, Redwood City",,,Provide training and tools to new Operation Leaders (OL). Provide a refresher course for veteran Operation Leaders. Provide a preview to trainees and members who anticipate taking on leadership roles.  Open to Members and Trainees only.
meeting,General,"",2007-05-14,2007-05-14,Redwood City,37.4888,-122.2305,""
training,Basic Technical Rescue,"Dan Herman, Leonard Brzezinski",2007-05-26,2007-05-27,Huddart Park,,,"This training will cover the basics of vertical rock rescue in a wilderness setting.  Topics will include at an introductory level: load analysis and force management, rope technology and handling, rescue knots and hitches, tandem-prusik belay, mechanical advantage systems, litter rigging and handling, and basic raising and lowering systems.  Sunday we will discuss, set up, and operate Kootenay highlines, both drooping and with reeves.  This training is open to BAMRU members, trainees and guests.              <p>|<a href='trainings/july04-basic-rescue' class='navover style2'>prior year details</a> |<br>"
meeting,General,"",2007-06-18,2007-06-18,Castro Valley,37.7207,-122.0962,""
training,Multi-Pitch Climbing Skills,Martin Lanner,2007-06-23,2007-06-24,Tenaya Peak,,,Basic multi-pitch rock climbing skill and techniques.  Open to Members and select Guests.
meeting,General,"",2007-07-16,2007-07-16,Redwood City,37.4888,-122.2305,""
training,Alpine Skill I - Peak Bag,Tzvetie Erohina,2007-07-20,2007-07-22,Mt Lyell,,,"Training to focus on lightweight techniques for covering distances quickly in an Alpine environment and to develop/increase comfort in mountain settings.  Basic snow travel / safety (i.e., ice ax arrest) will be practiced if conditions permit.Open to Members and select Guests with Leader Approval."
training,Alpine Skills II,"Mark Elston, Marco Cavalieri",2007-08-10,2007-08-12,Desolation Wilderness,,,"Program intended to provide experience in alpine envronment.  This will be a multi-day (fri-sun) through or loop hike in the Desolation Wilderness area near Lake Tahoe.  The goal is to get or refine experience in an Alpine environment (6-9k).  It's intended to be a non-technical (no climbing/rescue/snow equip) trip with the focus on efficient packing, movement, routefinding, trail breaking and multi-night capability at altitude.  Since permits will be required for this trip we need those interested to commit asap so arrangements can be made.  Open to Members and select Guests with Leader Approval."
meeting,General,"",2007-08-20,2007-08-20,Castro Valley,37.7207,-122.0962,""
meeting,General,"",2007-09-17,2007-09-17,Redwood City,37.4888,-122.2305,""
training,Advanced Technical Rescue,"Dan Herman, John Chang",2007-09-21,2007-09-23,Yosemite Valley,,,"This intensive weekend will provide advanced-level training on                 current best-practices for vertical rock rescue in a wilderness                 setting. Lecture topics may include:  load analysis,                 system design and integration, operational communications and                control, integration with other teams, emerging ideas and technology,                and special situations. Field exercises will put these ideas                 to use in live operations with exposure. Both lectures                 and field exercises will include detailed discussion of the how's                 and why's of the systems BAMRU prefers.<p>Likely special topics for this year will include highlines, difficult edges, and night ops.              <p>Open to selected guests				with technical rescue experience.</p>                <p>|<a href='trainings/sept04-yosemite' class='navover style2'>prior year details</a> |<br>"
meeting,General,"",2007-10-15,2007-10-15,Castro Valley,37.7207,-122.0962,""
training,Medical Skills,Tom Lass,2007-10-20,2007-10-21,"Clayton, Mt. Diablo State Park",,,"A two day course designed for search and rescue volunteers. The class will cover patient care issues in both urban and rural rescue settings. The course will also include basic patient assessment, triage in the wilderness, wilderness emergency scenarios and use of various search and rescue equipment, used in a medical setting.<p>|<a href='trainings/oct07-medical' class='navover style2'>details</a> | <br>"
training,Self Rescue,Lucas Marciniak,2007-11-17,2007-11-18,Castle Rock S.P.,,,Self Rescue for applicable to both SAR and recreational climbing situations.
meeting,General,"",2007-11-19,2007-11-19,Redwood City,37.4888,-122.2305,""
community,Unit Holiday Party,Tom Grossman,2007-12-09,"",Danville,,,"Social gathering plus elections, 3:00 pm - 6:00 pm.  Please see email for details."
meeting,General,"",2007-12-09,2007-12-09,Member's Social and Elections,,,""
training,Litter Handling,"Dan Herman, Lucas Marciniak",2007-12-16,"","Planet Granite, Belmont",,,"Starts at 18:15. Topics include litter handling and patient packaging. Sorry, no guests. If you have never been to PG before, you will need to complete a liability waiver."
community,Sheriff's Driver Training Part 1,ESD,2008-01-10,"",Redwood City,,,"This evening classroom session, in conjunction with the subsequent hands-on training, provides 2-year certification to drive San Mateo County rescue and transport vehicles. 1900 in Jury Assembly Room. "
community,Sheriff's Driver Training Part 2,ESD,2008-01-12,"",Redwood City,,,"In conjunction with the earlier classroom module, this Saturday morning practical session provides training to drive County vehicles."
meeting,General,"",2008-01-14,2008-01-14,Public Meet & Greet 1/2 hr before mtg,,,""
meeting,General, (not 3rd Monday),2008-01-14,2008-01-14,"Redwood City, 2008",,,""
training,"Winter Skills, 2008",Andy Leak,2008-01-26,2008-01-27,Carson Pass,,,"We will conduct a two-day winter training exercise for BAMRU members, trainees and selected guests.<p>During the training, we will engage in a number of exercises, which may include:<ul><li>navigation and routefinding<li>avalanche assessment <li>beacon search <li>winter shelters<li>ice axe arrest <li>snow anchors<li>probe search</ul>More detailed information and assignments will be distributed via our Yahoo group and at our General Meeting prior to the training."
meeting,General, (not 3rd Monday),2008-02-04,2008-02-04,Castro Valley,37.7207,-122.0962,""
meeting,General,"",2008-02-04,2008-02-04,Public Meet & Greet 1/2 hr before mtg,,,""
training,Technical Rescue Practicum,"Dan Herman, Tom Lass",2008-02-09,"",Mt. Diablo,,,This one-day practice in preparation for the March 1 MRA recertification in technical rock rescue is open only to members/trainees attending the recert.<p>Note this is a practice and not a training.  We'll focus on executing successively involved technical scenarios to build competence and fluidity and hope to avoid introducing didactic material or extended discussion.  More detail will be sent to participants by email the preceding week.
community,MRA evaluation of San Bernadino Cave Rescue Team,Chang,2008-02-09,"",Mt. Baldy,,,BAMRU will participate as one evaluator unit for San Bernadino County Cave Rescue Team's Certification in Snow and Ice
community,CPR Full Course,ESD,2008-02-16,"",Redwood City,,,"CPR/FPR/AED class is scheduled for Saturday February 16,2008 starting at 0800,  at the DOC. This will be a complete class withvideo. Certificate valid for one year. "
community,MRA evaluation of Monterey SAR,Chang,2008-02-17,"",Pinnacles,,,BAMRU will participate as one evaluator unit for the Monterey County SAR's Rock Rescue pre-test.
community,Ham Radio Licensing,Marciniak,2008-02-23,"","Marin SAR, Novato",,,"We have been invited to attend a one-day ham radio class hosted by Marin SAR on Saturday, February 23rd from 9am to 4pm at the Marin SAR cache (bldg 816) in Novato. The cost for the class and international license is $25. Please pre-register with name, email, and phone number as per the instructions sent to the group list."
community,MRA Recertification,Marciniak,2008-03-01,"","Alabama Hills, Inyo County",,,Annual California-Region Mountain Rescue Association recertification. The topic this year is Technical Rescue.   Visit the <a href='http://www.crmra.org/'>CAMRA website</a> to learn more about the California Region of the MRA.
meeting,General,"",2008-03-17,2008-03-17,Redwood City,37.4888,-122.2305,""
meeting,General,"",2008-03-17,2008-03-17,Public Meet & Greet 1/2 hr before mtg,,,""
training,SAR Intro & Mock Search,"Lars Ahntholz, Colin Little",2008-03-22,"",San Mateo County,,,"This hands-on day is designed for people who are considering joining BAMRU. You will have a chance to get to know BAMRU people in a field setting and participate in SAR field activities. If you want to go on this training, you are REQUIRED to attend the Monday March 17 General Meeting. This training will provide a flavor of typical search and rescue work, including working with the family/friends of the missing person, search organization and management, the vital role of the Sheriff's Office, radio communications, field search techniques, and carryout of an injured person in a litter. Should you determine that you are interested in volunteering with BAMRU, you will then want to attend the April SAR Basic training. "
community,All Unit Search Practice,SMSO,2008-04-19,"",TBA,,,Mock SAR. Great Chance to work with all SMSO units.
meeting,General,"",2008-04-21,2008-04-21,Castro Valley,37.7207,-122.0962,""
meeting,General,"",2008-04-21,2008-04-21,Public Meet & Greet 1/2 hr before mtg,,,""
training,SAR Basic Training Orientation,"John Chang, Ben Yaffe",2008-04-26,2008-04-27,San Mateo County,,,Intensive weekend training to orient prospective members on the basic skills required to contribute effectively to search and rescue operations. Intended for people with no prior SAR experience. 
community,MarinSAR Technical Training,Marciniak,2008-05-03,"",Marin County,,,BAMRU trains jointly with MarinSAR. 
meeting,General, (not 3rd Monday),2008-05-12,2008-05-12,Castro Valley,37.7207,-122.0962,""
community,Washington SAR Conference,TBA,2008-05-16,2008-05-18,"Cashmere, WA",,,Washington State SAR conference. For more info <a href='http://www.sar2008.com'>http://www.sar2008.com</a>
training,Tracking and CPR-Pro,"Marco Cavalieri, Donna Fox, Traci Farrell",2008-05-17,2008-05-18,Redwood City,,,"Saturday May 17 will deliver the fundamentals of tracking. Plan on spending a lot of time on your knees teaching your eyes to see the tiny details that reveal a story. Sunday May 18 will be CPR-pro training. Attendees can expect to earn a Red Cross CPR for the Professional Rescuer certification (CPR-FPR). Possible small materials fee, possible prep/pre-read. [Open to guests who have attended any prior BAMRU Training. Not open to first-time guests.]"
training,Rock Skills,"Lucas Marciniak, Colin Little",2008-06-14,2008-06-15,Tahoe area,,,"Two day course in general rock skills applied to SAR applications. Topics include Anchors (trad gear and natural protection), belaying, Rappelling, Basic self-rescue, jugging, and using your emergency evac equipment. Focus will be on both theory and practice. "
meeting,General,"",2008-06-16,2008-06-16,Castro Valley,37.7207,-122.0962,""
community,Sheriff's Driver Training Part 1,TBA,2008-07-02,"",Redwood City,,,"This evening classroom session, in conjunction with the subsequent hands-on training, provides 2-year certification to drive San Mateo County rescue and transport vehicles.  19:30 at San Mateo County Hall of Justice, 401 Marshall St.  Contact Jeremy Rahe to RSVP."
community,Sheriff's Driver Training Part 2,TBA,2008-07-19,2008-07-20,Redwood City,,,"In conjunction with the earlier classroom module, this Sunday morning practical session provides training to drive County vehicles.  Sign up for a one-hour time slot between 8am-2pm on either day.  Meet at the <a href='http://www.sanmateocourt.org/director.php?filename=./generalinfo/locsthmap.html'>jury parking lot</a>"
training,Heli Training & Mock Search with Contra Costa SAR,"Cris Benner, Contra Costa SAR",2008-07-19,"",Mt Diablo vicinity,,,"BAMRU has been invited to be a guest at Contra Costa SAR helicopter training with CHP rescue helicopter. Will include a mock search, safe helicopter procedures, insertions & extractions with helicopter."
meeting,General,"",2008-07-21,2008-07-21,Redwood City,37.4888,-122.2305,""
training,Basic Technical Rescue,Colin Little,2008-07-26,2008-07-27,TBA Bay Area,,,"This training will cover our standard rescue systems for technical rescue.   While we will be covering some theory, the focus of this two day training will be on efficiently setting up and operating our basic raising and lowering systems.  Guests who attend the rock skills training in June or those with specific permission of the instructor are welcome.  "
meeting,General,"",2008-08-18,2008-08-18,Castro Valley,37.7207,-122.0962,""
training,Alpine Skills,"Tzvetie Erohina, Cris Benner",2008-08-23,2008-08-24,"Banner Peak, Eastern Sierra",,,"The training will focus on lightweight techniques for covering distances quickly in an Alpine environment and on developing/increasing comfort in mountain settings. The training will include a peak attempt over Class III terrain at altitude (13-14k). Basic snow travel / safety (i.e. ice axe arrest, crampon technique) will be practiced if conditions permit. This training will not teach ice axe and crampon technique. Open to members and select trainees with leader approval. "
community,SAREX,TBA,2008-09-05,2008-09-07,Donner Pass State Park,,,SAREX conference
community,Ham Radio Study & Testing,BAEARS,2008-09-06,"",Redwood City,,,"The Bay Area Educational Amateur Radio Society (BAEARS) is hosting a one-day Amateur radio study session followed by FCC license testing.  Visit the <a href='http://baears.com/'>BAEARS website</a> for additional details and to register.  Contact <a href='mailto:lars_a@mindspring.com'>Lars Ahntholz</a>, Communications Officer, to discuss how BAMRU uses Ham radio in training and emergency operations.This is a quarterly event."
meeting,General,"",2008-09-15,2008-09-15,Redwood City,37.4888,-122.2305,""
training,Advanced Technical Rescue,Dan Herman,2008-09-27,2008-09-28,Coast side,,,"Annual technical rescue training on designing, building and operating a variety of rescue systems. Attendance at prior Basic Technical Rescue Training or substantial technical experience is required. [Guests at discretion of Training Leader.]"
meeting,General,"",2008-10-20,2008-10-20,Redwood City,37.4888,-122.2305,""
training,Medical Skills & Scenarios,Cris Benner,2008-10-25,"","Huddart Park, Woodside",,,"We will take our skills and knowledge and put it to use. We will have various search and rescue scenarios in the field, ranging from locating patients, assessing them, treating any injuries and organizing an appropriate type of evacuation with various search and rescue equipment.We also will practice immobilizing fractures and injuries with different types of devices, packaging patients with various injuries, and work with medical equipment.  CEUs will be provided to EMTs. Participation is open to BAMRU members and guests"
community,Ham Radio Study & Testing,BAEARS,2008-11-01,"",San Francisco,,,"The Bay Area Educational Amateur Radio Society (BAEARS) is hosting a one-day Amateur radio study session followed by FCC license testing.  Visit the <a href=\'http://baears.com/\'>BAEARS website</a> for additional details and to register.  Contact <a href=\'mailto:lars_a@mindspring.com\'>Lars Ahntholz</a>, Communications Officer, to discuss how BAMRU uses Ham radio in training and emergency operations."
community,Explorer Training,Marciniak,2008-11-08,"",Huddart Part,,,Teach patient assessment and SAR skills to the Explorer academy.
community,RFR,Chang/Little,2008-11-08,2008-11-15,Yosemite,,,Sending three BAMRU members to the Rigging for Rescue course with a generous donation form theLaci & Connor Fund.
community,CoCo SAR MRA Prep,Marciniak,2008-11-15,"",Mount Diablo,,,Assist Contra Costa County prepare for MRA testing. Attending: Marciniak and Ahntholz
meeting,General,"",2008-11-17,2008-11-17,Redwood City,37.4888,-122.2305,""
training,Trainee Skills Weekend,Jeremy Rahe,2008-11-22,2008-11-23,Mt Diablo,,,Trainee packet sign off
community,End of Year Party,Marciniak,2008-12-13,"",Lucas',,,"End of the year celebration. Sorry, not open to the public. Starts at 1600"
community,BASARC,TBA,2009-01-03,"",East Bay Regional Parks,,,BASARC Meeting
community,Cal Region MRA meeting,Chang,2009-01-03,"",San Benardino,,,California Region MRA meeting. Chang representing BAMRU.
community,MRA National Winter Meeting ,Chang/Yaffee,2009-01-10,2009-01-11,Salt Lake City,,,"Annual MRA National Winter Meeting. MRA strategic planning sessions, updates. "
meeting,General, (not 3rd Monday),2009-01-12,2009-01-12,Castro Valley - 2009,,,January 2009.
community,Ham Radio Study & Testing,BAEARS.com,2009-01-24,"",Los Altos,,,"The Bay Area Educational Amateur Radio Society (BAEARS) hosts a one-day Amateur radio study session followed by FCC license testing once every three months.  Visit the <a href='http://baears.com'>BAEARS website</a> for additional details and to register.  <BR><BR>If the one-day study session date does not work for you and you are really anxious to get your ham radio license and wish to  <a href='http://www.arrl.org/arrlvec/pools.html'>self-study the exam question pool</a> and then find a <a href='http://www.arrl.org/arrlvec/examsearch.phtml'>testing location</a> near you, the <a href='http://www.arrl.org'>American Radio Relay League</a> website provides a host of useful information.   <BR><BR>Contact <a href='mailto:lars@ahntholz.com'>Lars Ahntholz</a>, BAMRU Communications Officer, to discuss how BAMRU uses Ham radio in training and emergency operations.<BR>"
training,Winter Skills - 2009,Leak,2009-01-24,2009-01-25,South Tahoe,,,"We will conduct a two-day winter training exercise for BAMRU members, trainees and selected guests.<p>During the training, we will engage in a number of exercises, which may include:<ul><li>navigation and routefinding<li>avalanche assessment <li>beacon search <li>winter shelters<li>ice axe arrest <li>snow anchors<li>probe search</ul>More detailed information and assignments will be distributed via our Yahoo group and at our General Meeting prior to the training."
training,Crevasse Rescue Practice,Marciniak,2009-02-01,"",Bear Valley Area,,,Crevasse rescue practice to refresh skills and get the trainers all on the same page of what/how we want to instruct the skills to the team in preparation of the MRA re-cert.  By invite only. Please contact Marciniak if interested.
community,BASARC Section Chief Training,Appointed,2009-02-07,"",Alameda,,,"Two weekends: Feb 7,8,14,&15Marciniak and Grossman Attending"
community,BAMRU Open House,Little,2009-02-09,"",Redwood City,,,"This is a chance for anyone who might be interested in joining BAMRU to get a feel for what we do, and to meet some of the members of the team.  There will be a brief presentation about the team, but most of the time will be devoted to Q&A. People are welcome to stay for the general meeting following this session."
meeting,General, 7pm Open House,2009-02-09,2009-02-09,Castro Valley,37.7207,-122.0962,""
training,Snow rescue systems,Parker,2009-02-21,2009-02-22,Tahoe area,,,Focus on snow technical rescue scenarios
community,BASARC,TBA,2009-03-07,"",San Jose SAR,,,BASARC Meeting
community,CPR-FPR,T.Farrell,2009-03-14,"",Redwood City,,,American Red Cross version of CPR pro. BAMRU Members only. Contact T. Farrell to register. Note that ARC now provides a TWO YEAR certification. 
community,BAMRU Open House,Little,2009-03-16,"",Redwood City,,,"This is a chance for anyone who might be interested in joining BAMRU to get a feel for what we do, and to meet some of the members of the team.  There will be a brief presentation about the team, but most of the time will be devoted to Q&A.  People are welcome to stay for the general meeting following this session."
meeting,General, 7pm Open House,2009-03-16,2009-03-16,Redwood City,37.4888,-122.2305,""
training,SAR Intro & Mock Search,Seffens,2009-03-21,"",San Mateo County,,,"This hands-on day is designed for people who are considering joining BAMRU. You will have a chance to get to know BAMRU people in a field setting and participate in SAR field activities. If you want to go on this training, you are REQUIRED to attend the Monday March 16 General Meeting. This training will provide a flavor of typical search and rescue work, including working with the family/friends of the missing person, search organization and management, the vital role of the Sheriffs Office, radio communications, field search techniques, and carryout of an injured person in a litter. Should you determine that you are interested in volunteering with BAMRU, you will then want to attend the April SAR Basic training. "
training,Trainee Skills Day,Hoagland,2009-03-22,"",San Mateo County,,,"Trainee skills day, open to trainees & members only."
training,"CHP Helicopter Ops, Tracking",Yaffe,2009-03-28,"",Mt. Diablo,,,"We will be training in insertion, extraction, patient packaging and winch operations with CHP H-30 helicopter out of Napa.  Tracking practice prior. Joint training with CoCoSAR.  Open to Members and Trainees. "
community,Ham Radio Study & Testing,BAEARS.com,2009-04-18,"",Fremont,,,"The Bay Area Educational Amateur Radio Society (BAEARS) hosts a one-day Amateur radio study session followed by FCC license testing once every three months.  Visit the <a href='http://baears.com'>BAEARS website</a> for additional details and to register.  <BR><BR>If the one-day study session date does not work for you and you are really anxious to get your ham radio license and wish to  <a href='http://www.arrl.org/arrlvec/pools.html'>self-study the exam question pool</a> and then find a <a href='http://www.arrl.org/arrlvec/examsearch.phtml'>testing location</a> near you, the <a href='http://www.arrl.org'>American Radio Relay League</a> website provides a host of useful information.   <BR><BR>Contact <a href='mailto:lars@ahntholz.com'>Lars Ahntholz</a>, BAMRU Communications Officer, to discuss how BAMRU uses Ham radio in training and emergency operations.<BR>"
community,BAMRU Open House,Little,2009-04-20,"",Redwood City,,,"This is a chance for anyone who might be interested in joining BAMRU to get a feel for what we do, and to meet some of the members of the team.  There will be a brief presentation about the team, but most of the time will be devoted to Q&A.  People are welcome to stay for the general meeting following this session."
meeting,General, 7pm Open House,2009-04-20,2009-04-20,Redwood City,37.4888,-122.2305,""
training,SAR Basic Training,Dimmler,2009-04-25,2009-04-26,San Mateo County,,,Intensive weekend training to orient prospective members on the basic skills required to contribute effectively to search and rescue operations. Intended for people with no prior SAR experience. 
community,BASARC,Chang/Yaffee,2009-05-02,"",Alameda SAR,,,""
